project,SHA,prev SHA,unsafe algos,post inspection,reason
contentful.java,a574b245044e988a2a2324af67987a239b98756f,280e3326ca30746a4db66ccde2a7073da3142a07,ALL8,FALSE +VE,VMS found a violation that MOP missed. Indicating non-determinism. REASON:NON_DETERMINISM
contentful.java,bcb9da8213a12e7f6043e072bdc1902b274a2025,de938fd4c6987511b1edf6c076507a7ce972d063,ALL8,FALSE +VE,VMS found a violation that MOP missed. Indicating non-determinism. REASON:NON_DETERMINISM
contentful.java,e62c4357c30998c53e58f57bf96af6d4161fefae,N/A,ALL8,FALSE +VE,First SHA did not find the violation. Indicating non-determinism. REASON:NON_DETERMINISM
contentful.java,e7a0c412b94c97ff49e4cfac539c243f46821f11,b29b2f1c38f2d00e91cd5c676e65d6ec1e4ce576,ALL8,FALSE +VE,VMS found a violation that MOP missed. Indicating non-determinism. REASON:NON_DETERMINISM
contentful.java,eadcc34b295d1c8e7a7b71747927cc84d5cfff04,acf94238558df6351df7518d6770eee3c9eb74b3,ALL8,FALSE +VE,VMS found a violation that MOP missed. Indicating non-determinism. REASON:NON_DETERMINISM
dnsjava,259ea0d6,170c5c6d,ALL8,FALSE +VE,VMS finds a violation that MOP missed. Indicating non-determinism. REASON:NON_DETERMINISM
dnsjava,505b4ce9,48785dd5,ALL8,FALSE +VE,missed a violation that was later found by VMS but missed by MOP. Indicating non-determinism. REASON:NON_DETERMINISM
dnsjava,a118e796,403ce329,ALL8,FALSE +VE,VMS finds a violation that MOP missed. Indicating non-determinism. REASON:NON_DETERMINISM
gelly-streaming,2beed862,20acc8ff,ALL8,FALSE +VE,VMS finds a violation that MOP missed. Indicating non-determinism. REASON:NON_DETERMINISM
gelly-streaming,7b41635a,c6abf79b,METHODS-FA,TRUE +VE,Implementation problem of FA. Correctly identified the set of impacted method but failed to report violation. REASON:IMPLEMENTATION_PROBLEM
gelly-streaming,848b6abc,2c82ff16,ALL8,TRUE +VE,Missed violation in 3rd party library. REASON:INCOMPLETE_CDG
gelly-streaming,fd519999,43bccc8b,HyRTS-S METHODS-S METHODS-F METHODS-FA,TRUE +VE,Missed violation in 3rd party library. REASON:INCOMPLETE_CDG
gozer,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,f75bc11df480f854e80b1c1b81cf825d3c733355,ALL8,FALSE +VE,Line number shift along with changes in indentation of the line. The violation that VMS found is an old violation. REASON:VMS_LIMITATION
heros,c740e6b4c80ab9e6162a39dcc280b22429e0279b,3a26b4eef29893153bfb0e1ed0f8389ec9e5fdb6,FINE,FALSE +VE,Line number shift along with changes in indentation of the line. The violation that VMS found is an old violation. REASON:VMS_LIMITATION
HyperMinHash-java,f668b03e,N/A,HyRTS-S METHODS-S METHODS-F METHODS-FA,FALSE +VE,Missed violation when reverting to Base RV. Indicating non-determinism. REASON:NON_DETERMINISM
jetCheck,9239196a,3e70db07,HyRTS-S METHODS-S METHODS-F METHODS-FA,FALSE +VE,Line number shift. REASON:VMS_LIMITATION
jetCheck,af9f79d9,1cbfa35e,HyRTS-S METHODS-S METHODS-F METHODS-FA,FALSE +VE,Line number shift. REASON:VMS_LIMITATION
joda-time,3ba701b9d83dc9a6a1d45695c55f4f6edaa103c7,66825d61bf5257445f62a8a91ffda9fff8dcc4dd,METHODS-F METHODS-FA,FALSE +VE,Same set of violations but manifested as line number shift. REASON:VMS_LIMITATION
joda-time,4d84d89207088ff08fc76d00bf90a56525aa7589,ca7bec7931d244bf0cd344efe480aa9d9c54db9e,METHODS-FA,FALSE +VE,Same set of violations but manifested as line number shift. REASON:VMS_LIMITATION
joda-time,eaaff1d0687fc86a745ca8f3ea0b069b3cf54233,381cca4018848c2fa75ae93efd44872c3d60cd59,METHODS-FA,FALSE +VE,Same set of violations but manifested as line number shift. REASON:VMS_LIMITATION
jscep,6e794a46fc5966c579080b811c78305b01009570,8cd073c02a0cb19acb2dd5da23b4e76efaaddc5a,ALL8,FALSE +VE,VMS reports a violation at unknown location. Algorithms did not miss anything. REASON:VMS_LIMITATION
jscep,8cd073c02a0cb19acb2dd5da23b4e76efaaddc5a,ce7b9aed692c8e16dff96c0ba7f692815a522329,ALL8,FALSE +VE,VMS reports a violation at unknown location. Algorithms did not miss anything. REASON:VMS_LIMITATION
jscep,c77163782b228f908b14072f0bb6a30af34b6af2,6e794a46fc5966c579080b811c78305b01009570,ALL8,FALSE +VE,VMS reports a violation at unknown location. Algorithms did not miss anything. REASON:VMS_LIMITATION
jscep,da51082874b43eaf0a7878042de51a80d8738d08,c77163782b228f908b14072f0bb6a30af34b6af2,ALL8,FALSE +VE,VMS reports a violation at unknown location. Algorithms did not miss anything. REASON:VMS_LIMITATION
jscep,e553d489636bbde683314ebd5a134782594eeb1a,98c48ea1415006b8a9302c0cdc100cd1ab899925,ALL8,FALSE +VE,VMS reports a violation at unknown location. Algorithms did not miss anything. REASON:VMS_LIMITATION
liquibase-mssql,3ae07cbb3d7b36ca3a57db95b71366c916c75693,f2f7cbb681140ac27c9981c97c8a2dd054ba5d88,METHODS-S METHODS-F METHODS-FA,TRUE +VE,Missed violation in 3rd party library. REASON:INCOMPLETE_CDG
mutation-analysis-plugin,2a5452de27ab86040dd0f17f4fda371bea121599,9da5157a8b9c1c668ce85b2baacc8e410d21c4c3,HyRTS-S METHODS-S METHODS-F METHODS-FA,FALSE +VE,Line number shift. REASON:VMS_LIMITATION
