SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
0b6b6a2ed3e4710a76a55aeac6e41a72b9ebeab1,47,48,4,0,1,0,1,1,0,0,0,1,0,2,1,0,1,3,3
sum,47,48,4,0,1,0,1,1,0,0,0,1,0,2,1,0,1,3,3
arith_mean,47.00,48.00,4.00,-nan,1.00,-nan,1.00,1.00,-nan,-nan,-nan,1.00,-nan,2.00,1.00,-nan,1.00,3.00,3.00
geo_mean,47.00,48.00,4.00,-nan,1.00,-nan,1.00,1.00,-nan,-nan,-nan,1.00,-nan,2.00,1.00,-nan,1.00,3.00,3.00
