project,type,commit,variant,spec,location,inspected,in_library
Octopus,eMOP-FineMOP,6bcf7fcc3a382df20e75cc8de26a173fe6638ffa,METHODS-F_ps1c,Iterator_HasNext,cn.chenhuanming.octopus.core.AbstractSheetWriter.write(AbstractSheetWriter.java:42).,FALSE +VE,false
Octopus,eMOP-FineMOP,6bcf7fcc3a382df20e75cc8de26a173fe6638ffa,METHODS-FA_ps1c,Iterator_HasNext,cn.chenhuanming.octopus.core.AbstractSheetWriter.write(AbstractSheetWriter.java:42).,FALSE +VE,false
Octopus,eMOP-FineMOP,6bcf7fcc3a382df20e75cc8de26a173fe6638ffa,HyRTS-S_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.core.AbstractSheetWriter.write(AbstractSheetWriter.java:42).,FALSE +VE,false
Octopus,eMOP-FineMOP,6bcf7fcc3a382df20e75cc8de26a173fe6638ffa,METHODS-S_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.core.AbstractSheetWriter.write(AbstractSheetWriter.java:42).,FALSE +VE,false
Octopus,eMOP-FineMOP,6bcf7fcc3a382df20e75cc8de26a173fe6638ffa,METHODS-F_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.core.AbstractSheetWriter.write(AbstractSheetWriter.java:42).,FALSE +VE,false
Octopus,eMOP-FineMOP,6bcf7fcc3a382df20e75cc8de26a173fe6638ffa,METHODS-FA_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.core.AbstractSheetWriter.write(AbstractSheetWriter.java:42).,FALSE +VE,false
Octopus,eMOP-FineMOP,cd68eb8dca18760d77d010569aab938c766e19c2,HyRTS-S_ps1c,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:45).,FALSE +VE,false
Octopus,eMOP-FineMOP,cd68eb8dca18760d77d010569aab938c766e19c2,METHODS-S_ps1c,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:45).,FALSE +VE,false
Octopus,eMOP-FineMOP,cd68eb8dca18760d77d010569aab938c766e19c2,METHODS-F_ps1c,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:45).,FALSE +VE,false
Octopus,eMOP-FineMOP,cd68eb8dca18760d77d010569aab938c766e19c2,METHODS-FA_ps1c,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:45).,FALSE +VE,false
Octopus,eMOP-FineMOP,cd68eb8dca18760d77d010569aab938c766e19c2,HyRTS-S_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:45).,FALSE +VE,false
Octopus,eMOP-FineMOP,cd68eb8dca18760d77d010569aab938c766e19c2,METHODS-S_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:45).,FALSE +VE,false
Octopus,eMOP-FineMOP,cd68eb8dca18760d77d010569aab938c766e19c2,METHODS-F_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:45).,FALSE +VE,false
Octopus,eMOP-FineMOP,cd68eb8dca18760d77d010569aab938c766e19c2,METHODS-FA_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:45).,FALSE +VE,false
Octopus,eMOP-FineMOP,f8d9f00c7bb21541d0986666be4b74d47a85f9f6,HyRTS-S_ps1c,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:40).,FALSE +VE,false
Octopus,eMOP-FineMOP,f8d9f00c7bb21541d0986666be4b74d47a85f9f6,METHODS-S_ps1c,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:40).,FALSE +VE,false
Octopus,eMOP-FineMOP,f8d9f00c7bb21541d0986666be4b74d47a85f9f6,METHODS-F_ps1c,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:40).,FALSE +VE,false
Octopus,eMOP-FineMOP,f8d9f00c7bb21541d0986666be4b74d47a85f9f6,METHODS-FA_ps1c,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:40).,FALSE +VE,false
Octopus,eMOP-FineMOP,f8d9f00c7bb21541d0986666be4b74d47a85f9f6,HyRTS-S_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:40).,FALSE +VE,false
Octopus,eMOP-FineMOP,f8d9f00c7bb21541d0986666be4b74d47a85f9f6,METHODS-S_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:40).,FALSE +VE,false
Octopus,eMOP-FineMOP,f8d9f00c7bb21541d0986666be4b74d47a85f9f6,METHODS-F_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:40).,FALSE +VE,false
Octopus,eMOP-FineMOP,f8d9f00c7bb21541d0986666be4b74d47a85f9f6,METHODS-FA_ps3cl,Iterator_HasNext,cn.chenhuanming.octopus.writer.AbstractSheetWriter.write(AbstractSheetWriter.java:40).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,FINE_ps1c,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
gozer,eMOP-FineMOP,a8087ee62b4a0364f5947b0bf0c0afc8643229a6,HyRTS_ps1c,ListIterator_hasNextPrevious,com.walmartlabs.x12.common.segment.parser.N1PartyIdentificationParser.handleN1Loop(N1PartyIdentificationParser.java:70).,FALSE +VE,false
