SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|,|VMS\STARTS+CLASSES_ps1c|,|STARTS+CLASSES_ps1c\VMS|,|VMS\FINE_STARTS+CLASSES_ps1c|,|FINE_STARTS+CLASSES_ps1c\VMS|,|VMS\EKSTAZI+CLASSES_ps1c|,|EKSTAZI+CLASSES_ps1c\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps1c|,|FINE_EKSTAZI+CLASSES_ps1c\VMS|,|VMS\STARTS+HyRTS-S_ps1c|,|STARTS+HyRTS-S_ps1c\VMS|,|VMS\FINE_STARTS+HyRTS-S_ps1c|,|FINE_STARTS+HyRTS-S_ps1c\VMS|,|VMS\EKSTAZI+HyRTS-S_ps1c|,|EKSTAZI+HyRTS-S_ps1c\VMS|,|VMS\FINE_EKSTAZI+HyRTS-S_ps1c|,|FINE_EKSTAZI+HyRTS-S_ps1c\VMS|
767e5ef237544640bbf638a145317c223c4525ab,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
441a17e9cede9cc73dc2860e29d779a85fd99e99,8,0,0,0,8,0,8,0,8,0,8,0,7,0,7,0,7,0,3,0,7,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3
11c857e7eb359fcabd6ce7e0a02cd7ad773b0d9c,10,2,0,0,8,0,8,0,8,0,8,0,7,0,7,0,7,2,0,0,7,2,0,2,0,2,0,2,3,2,3,2,3,2,3,2,0,2,0,2,0,2,0
e5ac9345dcda19981fe521530708e8f24537deaa,10,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,12,0,12
b22ddbf0544d9e019c41af70f1320497eedc867a,10,0,0,0,10,0,10,0,10,0,12,0,9,0,9,0,8,0,0,0,8,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,1,0,1
0904f0e9cc3d73cb94dda690b3b4fbeefe828e9c,10,0,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,12,0,12
6efd85b2d8267d554293eadd608c9963f81e0478,10,0,0,0,10,0,10,0,10,0,10,0,9,0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0
cd68eb8dca18760d77d010569aab938c766e19c2,10,1,0,0,9,0,9,0,9,0,9,0,8,0,8,0,8,1,0,0,8,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
6bcf7fcc3a382df20e75cc8de26a173fe6638ffa,10,1,0,0,9,0,9,0,9,0,9,0,8,0,8,0,8,1,0,0,8,1,0,1,0,1,0,0,2,0,2,0,2,0,2,1,0,1,0,1,0,1,0
f8d9f00c7bb21541d0986666be4b74d47a85f9f6,10,1,0,0,9,0,9,0,9,0,9,0,8,0,8,0,8,1,0,0,8,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4f91dd1bb29f23e20233e4a95ad00feb575259d6,10,0,0,0,10,0,10,0,10,0,10,0,9,0,9,0,9,0,6,0,9,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6
86016c7dfc776f582b001c9b34d26f332128db8b,10,0,0,0,10,0,10,0,10,0,10,0,9,0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,6,0,6,0,6,0,6,0,0,0,0,0,0,0,0
638c1ddf47aa4e7acdfc2cc537666c93f8dead1c,10,0,0,0,10,0,10,0,10,0,10,0,9,0,9,0,9,0,0,0,9,0,0,0,0,0,0,0,6,0,6,0,6,0,6,0,0,0,0,0,0,0,0
427b91e5708f78fdb018c00b2148e95a3c4aa008,10,0,0,0,10,0,10,0,10,0,10,0,9,0,9,0,9,0,6,0,9,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6
ac1e3a43da2469c62dce19e8111b011756f1f08c,10,0,0,0,0,0,0,0,12,0,12,0,9,0,9,0,9,0,3,0,9,0,3,0,2,0,3,0,0,0,0,0,9,0,9,0,0,0,0,0,3,0,3
62c060ad12fdd998ec0aaef20867bdc1647c35d0,14,11,0,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,5,0,5
2c93dbab98c656732261bbaa77a35f85241df693,17,3,0,0,10,0,10,0,10,0,10,1,12,1,12,1,12,1,3,1,12,1,3,1,3,1,3,1,9,1,9,1,12,1,12,1,3,1,3,1,4,1,4
49d5b5932631a9d640b9dda67f7d1c03ae6c9a58,17,0,0,0,13,0,13,0,13,0,19,0,14,0,14,0,14,0,5,0,14,0,5,0,5,0,5,0,11,0,11,0,14,0,14,0,5,0,5,0,6,0,6
27b7842bf5ba2847b350421d1ac555988a402e97,14,0,0,0,14,0,14,0,14,0,14,0,11,0,11,0,11,0,2,0,11,0,6,0,6,0,6,0,11,0,11,0,11,0,11,0,2,0,2,0,2,0,2
15954a0aa18244e151963a0fcd5274d5849929a5,14,0,0,0,14,0,14,0,14,0,14,0,11,0,11,0,11,0,0,0,11,0,0,0,0,0,0,0,11,0,11,0,11,0,11,0,0,0,0,0,0,0,0
sum,222,27,0,0,177,0,177,0,189,0,197,1,172,1,172,1,171,6,51,1,171,6,55,6,54,6,55,5,103,5,103,5,118,5,118,6,48,6,48,6,62,6,62
arith_mean,11.10,3.86,0,0,9.83,0,9.83,0,9.95,0,10.37,1.00,9.05,1.00,9.05,1.00,9.00,1.20,5.10,1.00,9.00,1.20,5.50,1.20,5.40,1.20,5.50,1.25,6.44,1.25,6.44,1.25,6.94,1.25,6.94,1.20,5.33,1.20,5.33,1.20,5.17,1.20,5.17
geo_mean,10.85,2.45,0,0,9.44,0,9.44,0,9.56,0,9.85,1.00,8.71,1.00,8.71,1.00,8.66,1.15,4.43,1.00,8.66,1.15,4.95,1.15,4.75,1.15,4.95,1.19,5.53,1.19,5.53,1.19,5.87,1.19,5.87,1.15,4.63,1.15,4.63,1.15,4.10,1.15,4.10
