SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|,|VMS\STARTS+CLASSES_ps3cl|,|STARTS+CLASSES_ps3cl\VMS|,|VMS\FINE_STARTS+CLASSES_ps3cl|,|FINE_STARTS+CLASSES_ps3cl\VMS|,|VMS\EKSTAZI+CLASSES_ps3cl|,|EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps3cl|,|FINE_EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\STARTS+METHODS_ps3cl|,|STARTS+METHODS_ps3cl\VMS|,|VMS\FINE_STARTS+METHODS_ps3cl|,|FINE_STARTS+METHODS_ps3cl\VMS|,|VMS\EKSTAZI+METHODS_ps3cl|,|EKSTAZI+METHODS_ps3cl\VMS|,|VMS\FINE_EKSTAZI+METHODS_ps3cl|,|FINE_EKSTAZI+METHODS_ps3cl\VMS|
a2b382da0a7424c9861da2750b40f332543314eb,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
5985fb7361c4b21cf789a9f5d89276afaa49674a,5,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10777466f2c5ea11e738f55430a70c911ce6c4cb,5,0,0,0,4,0,4,0,3,0,3,0,4,0,4,0,3,0,3,0,3,0,2,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4926c32d147a7ace1b1729cffb3f106783b2e921,5,0,0,0,4,0,4,0,4,0,7,0,4,0,4,0,4,0,1,0,4,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236ec5483c17b297a683493c74e55dcacbb6984f,5,0,0,0,1,0,1,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e6ce7196f8fe36bd28ec96ba27d7d8ce7d4924c,5,0,0,0,4,0,4,0,7,0,7,0,4,0,4,0,5,0,5,0,5,0,3,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42e821c9948d2759c066fa35ab59ebf7a42ce70d,5,0,0,0,4,0,4,0,7,0,7,0,4,0,4,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dbece6b01144f7ec8ba4365895666ad0dbf7f53d,5,0,0,0,4,0,4,0,7,0,7,0,4,0,4,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
922ccf0ce7597ce419fe208e67078b4ed7a0d047,6,1,0,0,4,0,4,0,7,0,7,0,4,0,4,0,5,0,5,0,5,0,3,0,3,0,5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
34ce5b5f35adfbcbb5973de648987530cc9e7057,6,0,0,0,5,0,5,0,8,0,8,0,5,0,5,0,4,0,4,0,4,0,3,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,52,6,0,0,30,0,30,0,57,0,60,0,29,0,29,0,23,0,20,0,23,0,12,0,12,0,20,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0
arith_mean,5.20,3.00,0,0,3.75,0,3.75,0,6.33,0,6.67,0,4.14,0,4.14,0,3.29,0,2.86,0,3.29,0,2.40,0,2.40,0,2.86,3.00,0,3.00,0,3.00,0,3.00,0,3.00,0,3.00,0,3.00,0,3.00,0
geo_mean,5.19,2.24,0,0,3.46,0,3.46,0,6.08,0,6.47,0,4.13,0,4.13,0,2.75,0,2.26,0,2.75,0,2.22,0,2.22,0,2.26,2.24,0,2.24,0,2.24,0,2.24,0,2.24,0,2.24,0,2.24,0,2.24,0
