SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|,|VMS\STARTS+CLASSES_ps1c|,|STARTS+CLASSES_ps1c\VMS|,|VMS\FINE_STARTS+CLASSES_ps1c|,|FINE_STARTS+CLASSES_ps1c\VMS|,|VMS\EKSTAZI+CLASSES_ps1c|,|EKSTAZI+CLASSES_ps1c\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps1c|,|FINE_EKSTAZI+CLASSES_ps1c\VMS|,|VMS\STARTS+METHODS-F_ps1c|,|STARTS+METHODS-F_ps1c\VMS|,|VMS\FINE_STARTS+METHODS-F_ps1c|,|FINE_STARTS+METHODS-F_ps1c\VMS|,|VMS\EKSTAZI+METHODS-F_ps1c|,|EKSTAZI+METHODS-F_ps1c\VMS|,|VMS\FINE_EKSTAZI+METHODS-F_ps1c|,|FINE_EKSTAZI+METHODS-F_ps1c\VMS|
e46fcbb0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,5,0,5
086211b2,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,3,0,3,0,5,0,5
a2277fcb,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,0,0,0,0,0,0,0
a584486c,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,0,0,0,0,0
sum,0,0,0,0,10,0,9,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,9,0,12,0,12,0,6,0,6,0,10,0,10
arith_mean,0,0,0,0,2.50,0,3.00,0,3.00,0,3.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50,0,3.00,0,3.00,0,3.00,0,3.00,0,3.00,0,5.00,0,5.00
geo_mean,0,0,0,0,2.28,0,3.00,0,3.00,0,3.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.28,0,3.00,0,3.00,0,3.00,0,3.00,0,3.00,0,5.00,0,5.00
