SHA,VMS\HyRTS,HyRTS\VMS,VMS\CLASSES,CLASSES\VMS,VMS\METHODS,METHODS\VMS,VMS\MOP,MOP\VMS,VMS\FINE,FINE\VMS
1c8eee49,3,0,3,0,3,0,0,0,3,0
9d959559,0,0,0,0,0,0,0,3,0,0
a1046580,0,0,0,0,0,0,0,3,0,0
52b38be4,0,0,0,0,0,0,0,3,0,0
ca540c89,0,0,0,0,0,0,0,3,0,0
63b4146e,0,0,0,0,0,0,0,3,0,0
3e70db07,0,0,0,0,0,0,0,3,0,0
9239196a,2,0,2,0,2,0,0,1,2,0
64450ebb,0,0,0,0,0,0,0,3,0,0
1cbfa35e,0,0,0,0,0,0,0,3,0,0
af9f79d9,1,0,1,0,1,0,0,2,1,0
a516ec69,0,0,0,0,0,0,0,3,0,0
16b9d23e,0,0,0,0,0,0,0,3,0,0
a3cd7c9e,0,0,0,0,0,0,0,3,0,0
945fbb8d,0,0,0,0,0,0,0,3,0,0
56022074,0,0,0,0,0,0,0,3,0,0
4d8d667e,0,0,0,0,0,0,0,3,0,0
bbca52f9,0,0,0,0,0,0,0,3,0,0
41439694,0,0,0,0,0,0,0,3,0,0
ab12dcc1,0,0,0,0,0,0,0,3,0,0
