SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|,|VMS\STARTS+CLASSES_ps1c|,|STARTS+CLASSES_ps1c\VMS|,|VMS\FINE_STARTS+CLASSES_ps1c|,|FINE_STARTS+CLASSES_ps1c\VMS|,|VMS\EKSTAZI+CLASSES_ps1c|,|EKSTAZI+CLASSES_ps1c\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps1c|,|FINE_EKSTAZI+CLASSES_ps1c\VMS|,|VMS\STARTS+METHODS-S_ps1c|,|STARTS+METHODS-S_ps1c\VMS|,|VMS\FINE_STARTS+METHODS-S_ps1c|,|FINE_STARTS+METHODS-S_ps1c\VMS|,|VMS\EKSTAZI+METHODS-S_ps1c|,|EKSTAZI+METHODS-S_ps1c\VMS|,|VMS\FINE_EKSTAZI+METHODS-S_ps1c|,|FINE_EKSTAZI+METHODS-S_ps1c\VMS|
095f7f50,42,41,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,3,0,3
aab22fc4,42,4,0,4,0,4,0,0,38,0,38,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
8add94fc,42,3,0,3,0,3,0,0,41,0,41,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
ca74f47d,43,4,0,0,39,0,39,0,39,0,39,4,12,4,0,4,12,4,0,4,12,4,0,4,0,4,0,4,12,4,12,4,12,4,12,4,0,4,0,4,0,4,0
5fd00d64,44,5,0,0,39,1,38,0,39,0,39,5,12,5,12,5,12,5,12,5,12,5,0,5,0,5,0,5,12,5,12,5,12,5,12,5,0,5,0,5,0,5,0
1a2e12c8,44,4,0,0,40,1,40,0,40,0,40,3,35,3,35,3,35,3,23,3,23,3,23,3,23,3,23,3,35,4,35,3,35,3,35,3,23,4,23,3,23,3,23
ca65459f,44,4,0,4,0,4,0,0,42,0,42,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0b9ede25,47,7,0,0,40,7,0,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,7,0,7,0,0,40,0,40,7,0,7,0,0,42,0,42
36f84631,46,20,1,1,27,20,0,1,27,1,27,1,27,1,27,1,27,1,27,1,27,1,27,1,27,1,27,20,0,20,0,1,27,1,27,20,0,20,0,1,29,1,29
b0306567,46,4,0,1,41,1,41,0,42,0,42,3,24,3,25,3,38,3,24,3,24,3,23,3,24,3,25,4,23,4,24,3,24,3,25,4,23,4,23,3,25,3,24
d53a11b8,47,5,0,1,42,1,42,1,42,1,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,1,42,1,42,1,42,1,42,1,42,1,42,1,44,1,44
667755b0,47,4,0,0,43,0,43,0,43,0,43,4,0,4,0,4,15,4,0,4,15,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
sum,534,105,1,14,312,42,244,2,434,2,434,31,193,31,182,31,222,31,169,31,196,31,156,31,157,31,158,59,125,60,126,32,193,32,194,59,89,60,89,32,166,32,165
arith_mean,44.50,8.75,1.00,2.33,34.67,4.67,34.86,1.00,36.17,1.00,36.17,3.44,24.12,3.44,26.00,3.44,24.67,3.44,24.14,3.44,21.78,3.44,26.00,3.44,26.17,3.44,26.33,5.36,20.83,5.45,21.00,3.20,24.12,3.20,24.25,5.36,22.25,5.45,22.25,3.20,27.67,3.20,27.50
geo_mean,44.46,5.90,1.00,1.91,25.68,2.66,23.85,1.00,28.80,1.00,28.80,3.19,16.50,3.19,17.37,3.19,17.18,3.19,16.26,3.19,15.58,3.19,16.98,3.19,17.10,3.19,17.22,4.16,13.02,4.27,13.11,2.84,16.50,2.84,16.58,4.16,12.21,4.27,12.21,2.84,21.26,2.84,21.12
