SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|,|VMS\STARTS+CLASSES_ps3cl|,|STARTS+CLASSES_ps3cl\VMS|,|VMS\FINE_STARTS+CLASSES_ps3cl|,|FINE_STARTS+CLASSES_ps3cl\VMS|,|VMS\EKSTAZI+CLASSES_ps3cl|,|EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps3cl|,|FINE_EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\STARTS+METHODS_ps3cl|,|STARTS+METHODS_ps3cl\VMS|,|VMS\FINE_STARTS+METHODS_ps3cl|,|FINE_STARTS+METHODS_ps3cl\VMS|,|VMS\EKSTAZI+METHODS_ps3cl|,|EKSTAZI+METHODS_ps3cl\VMS|,|VMS\FINE_EKSTAZI+METHODS_ps3cl|,|FINE_EKSTAZI+METHODS_ps3cl\VMS|
e05ce19a,5,0,0,0,5,0,5,0,5,0,5,0,5,0,3,0,5,0,1,0,5,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58e9e9e4,5,0,0,0,5,0,5,0,5,0,5,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9e4120fd,5,0,0,0,5,0,5,0,5,0,7,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
788b61cb,5,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bb62b496,5,0,0,0,4,0,4,0,5,0,5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b9f73275,5,0,0,0,5,0,4,0,5,0,5,0,5,0,2,0,5,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00efff7d,5,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bb854ee1,5,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950b4d7,5,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a6769045,5,0,0,0,5,0,5,0,5,0,5,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,91,5,0,0,63,0,62,0,98,0,99,0,40,0,35,0,34,0,18,0,33,0,8,0,8,0,9,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
arith_mean,4.55,2.50,0,0,4.50,0,4.43,0,5.16,0,5.21,0,2.86,0,2.50,0,3.09,0,3.60,0,2.75,0,2.67,0,2.67,0,2.25,2.50,0,2.50,0,2.50,0,2.50,0,2.50,0,2.50,0,2.50,0,2.50,0
geo_mean,4.52,2.00,0,0,4.47,0,4.40,0,5.08,0,4.91,0,2.60,0,2.35,0,2.79,0,3.02,0,2.51,0,2.15,0,2.15,0,1.78,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0
