SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|,|VMS\STARTS+CLASSES_ps3cl|,|STARTS+CLASSES_ps3cl\VMS|,|VMS\FINE_STARTS+CLASSES_ps3cl|,|FINE_STARTS+CLASSES_ps3cl\VMS|,|VMS\EKSTAZI+CLASSES_ps3cl|,|EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps3cl|,|FINE_EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\STARTS+METHODS-FA_ps3cl|,|STARTS+METHODS-FA_ps3cl\VMS|,|VMS\FINE_STARTS+METHODS-FA_ps3cl|,|FINE_STARTS+METHODS-FA_ps3cl\VMS|,|VMS\EKSTAZI+METHODS-FA_ps3cl|,|EKSTAZI+METHODS-FA_ps3cl\VMS|,|VMS\FINE_EKSTAZI+METHODS-FA_ps3cl|,|FINE_EKSTAZI+METHODS-FA_ps3cl\VMS|
11100798e0c0f2a8a84e26c7c31aa104311f0480,22,21,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0,21,0
f78f52ff7455e09fa03bb8cd7c071268cb0e3998,23,3,0,1,19,0,19,0,19,0,19,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
beafa8ed339f30a3347f1b20ef112380efdc7de1,23,0,0,0,22,0,22,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
885fcd6168ca23e93a1c24300f2ddcbda720258c,26,3,0,0,21,0,22,0,22,0,22,0,23,0,23,0,22,0,23,0,22,0,23,0,22,0,23,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
19192deeb489ab9213136006c3a433a060a7b29e,26,0,0,0,24,0,25,0,25,0,25,0,26,0,26,0,25,0,25,0,25,0,26,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bc98265f6d4650822fba6865e0ae591e8477897d,26,0,0,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
060daed5a72a0e3d95c65319fd99e3285a5b213a,26,0,0,0,24,0,25,0,25,0,28,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8a09e6e090f5eaf28d3f59e005eda059025b765e,26,0,0,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,25,0,26,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ff3901493ae27eb4ef54ab0116dfc60a9fff421,25,0,0,0,25,0,25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60bd7d5cc1b515db30258a23c4949fc9b3964648,26,2,0,0,23,0,22,0,23,0,23,0,24,0,24,0,23,0,24,0,24,0,23,0,24,0,23,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0
145a4bf7c99cf768a671e5c874bd6db7b26a3aff,26,1,0,1,24,0,24,0,24,0,24,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
818010687799c0fd5a63fa7a21ad7db4ad7986a7,25,0,0,0,24,0,25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
607165f39d022e9ce36324e3abdb21c40bd64a14,26,0,0,0,25,0,1,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8338e163b8cd4ff83f97fdd69527768338ffa5cc,26,0,0,0,25,0,25,0,25,0,25,0,26,0,26,0,25,0,26,0,26,0,25,0,26,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276fe86a305d726232767bfc003d8f943b4491de,25,0,0,0,25,0,1,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8841e30d9c1267941f5c7a54399eb20a5b63e65d,26,0,0,0,25,0,25,0,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71328521eae87bd7c3deef00b15a1de1fa2c0628,26,1,0,0,24,1,24,0,24,0,24,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
821d1cf9581ecc2e170ab6775b7d637c27669671,27,1,0,0,25,0,1,0,25,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
25916d170800b4ba3946b7469317ddd7442e303a,26,1,1,0,25,1,25,0,25,0,25,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
fb2347bd3b7bf1649b4e645b81003b611386f904,26,0,0,0,25,0,25,0,26,0,29,0,27,0,27,0,26,0,27,0,26,0,27,0,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,508,33,1,2,457,2,388,0,464,0,398,7,228,7,228,7,223,7,227,7,224,7,225,7,226,7,226,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0
arith_mean,25.40,4.12,1.00,1.00,24.05,1.00,20.42,0,23.20,0,19.90,1.40,22.80,1.40,22.80,1.40,22.30,1.40,22.70,1.40,22.40,1.40,25.00,1.40,25.11,1.40,25.11,4.12,0,4.12,0,4.12,0,4.12,0,4.12,0,4.12,0,4.12,0,4.12,0
