SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|,|VMS\STARTS+CLASSES_ps3cl|,|STARTS+CLASSES_ps3cl\VMS|,|VMS\FINE_STARTS+CLASSES_ps3cl|,|FINE_STARTS+CLASSES_ps3cl\VMS|,|VMS\EKSTAZI+CLASSES_ps3cl|,|EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps3cl|,|FINE_EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\STARTS+METHODS-S_ps3cl|,|STARTS+METHODS-S_ps3cl\VMS|,|VMS\FINE_STARTS+METHODS-S_ps3cl|,|FINE_STARTS+METHODS-S_ps3cl\VMS|,|VMS\EKSTAZI+METHODS-S_ps3cl|,|EKSTAZI+METHODS-S_ps3cl\VMS|,|VMS\FINE_EKSTAZI+METHODS-S_ps3cl|,|FINE_EKSTAZI+METHODS-S_ps3cl\VMS|
c7087ed66219f4b9b0344c96faa1c512c0461cac,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
5bfbb94a6983e6a2c5a9897ceec65fc56e715144,7,0,0,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3af1768025c750cfcefd2460a9145fbb44531c02,7,0,0,0,7,0,7,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1088992121d8425244a429b572894a572968fc22,7,0,0,0,7,0,7,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f7bf48fb510989642a40bad1341ab8c71ee410e5,7,0,0,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a03e7067a036d55ad7cbff57f8ad5bb4e0d2afee,7,0,0,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ca5e1057cf3bdf3f64177daf36ea4039d66cad4c,7,0,0,0,7,0,7,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d692e9c74488e640bce245a6e6c982464e5423f,7,0,0,0,0,0,0,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d1fdcfb1f3ae8326411022bbc7bebee07f1948bb,7,0,0,0,7,0,7,0,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56d971dc2014597a1919f5e9cebd638fadb8e235,7,0,0,0,7,0,7,0,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68471da689d4eb3cbd1b8829106273cda0f1fc40,7,0,0,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
893e20e8817b3437630fe390214ab8fb7a8146c0,7,0,0,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd5a9b404e844ed18862af061338aab9a8a691bb,5,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f6dbafd31bede6345ef41a6eba3cb930b165707f,5,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cb8e4d36a320febc3f594ad073c1ae64dd090f6a,5,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c5c5b42a04013eed865715fbf373466244868a9e,5,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ce818232fc4bf6154795193f428466bfd59dc4f8,5,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,109,7,0,0,95,0,95,0,108,0,114,0,39,0,39,0,39,0,39,0,39,0,39,0,39,0,39,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
arith_mean,6.41,7.00,0,0,6.33,0,6.33,0,6.75,0,7.12,0,5.57,0,5.57,0,5.57,0,5.57,0,5.57,0,5.57,0,5.57,0,5.57,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0
geo_mean,6.34,7.00,0,0,6.26,0,6.26,0,6.61,0,6.92,0,5.50,0,5.50,0,5.50,0,5.50,0,5.50,0,5.50,0,5.50,0,5.50,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0
