SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|,|VMS\STARTS+CLASSES_ps1c|,|STARTS+CLASSES_ps1c\VMS|,|VMS\FINE_STARTS+CLASSES_ps1c|,|FINE_STARTS+CLASSES_ps1c\VMS|,|VMS\EKSTAZI+CLASSES_ps1c|,|EKSTAZI+CLASSES_ps1c\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps1c|,|FINE_EKSTAZI+CLASSES_ps1c\VMS|,|VMS\STARTS+_ps1c|,|STARTS+_ps1c\VMS|,|VMS\FINE_STARTS+_ps1c|,|FINE_STARTS+_ps1c\VMS|,|VMS\EKSTAZI+_ps1c|,|EKSTAZI+_ps1c\VMS|,|VMS\FINE_EKSTAZI+_ps1c|,|FINE_EKSTAZI+_ps1c\VMS|
8965c51c,63,63,0,0,0,63,0,63,0,63,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,63,0,63,0,63,0,63,0,63,0,63,0,63,0,63,0
cd786038,63,1,1,1,63,1,0,1,0,1,0,1,16,1,16,1,16,1,7,1,16,1,7,1,7,1,7,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
1b55c7b0,63,0,0,0,0,0,0,0,0,0,0,0,23,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f5b69109,58,27,0,0,31,27,0,27,0,27,0,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0
32fcefb9,22,6,0,0,16,6,0,6,0,6,0,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0
31530c7d,16,9,0,0,7,9,0,9,0,9,0,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0
61eb2cc8,19,10,0,0,9,10,0,10,0,10,0,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0
158c5e27,21,11,0,0,10,11,0,11,0,11,0,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0
sum,325,127,1,1,136,127,0,127,0,127,0,1,112,1,113,1,89,1,81,1,89,1,81,1,80,1,80,127,0,127,0,127,0,127,0,127,0,127,0,127,0,127,0
arith_mean,40.62,18.14,1.00,1.00,22.67,18.14,0,18.14,0,18.14,0,1.00,16.00,1.00,14.12,1.00,14.83,1.00,11.57,1.00,14.83,1.00,11.57,1.00,13.33,1.00,13.33,18.14,0,18.14,0,18.14,0,18.14,0,18.14,0,18.14,0,18.14,0,18.14,0
geo_mean,34.56,10.01,1.00,1.00,16.43,10.01,0,10.01,0,10.01,0,1.00,14.18,1.00,10.18,1.00,13.08,1.00,8.05,1.00,13.08,1.00,8.05,1.00,11.39,1.00,11.39,10.01,0,10.01,0,10.01,0,10.01,0,10.01,0,10.01,0,10.01,0,10.01,0
