SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|,|VMS\STARTS+CLASSES_ps1c|,|STARTS+CLASSES_ps1c\VMS|,|VMS\FINE_STARTS+CLASSES_ps1c|,|FINE_STARTS+CLASSES_ps1c\VMS|,|VMS\EKSTAZI+CLASSES_ps1c|,|EKSTAZI+CLASSES_ps1c\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps1c|,|FINE_EKSTAZI+CLASSES_ps1c\VMS|,|VMS\STARTS+_ps1c|,|STARTS+_ps1c\VMS|,|VMS\FINE_STARTS+_ps1c|,|FINE_STARTS+_ps1c\VMS|,|VMS\EKSTAZI+_ps1c|,|EKSTAZI+_ps1c\VMS|,|VMS\FINE_EKSTAZI+_ps1c|,|FINE_EKSTAZI+_ps1c\VMS|
1f06d8d7e896432b28cfdeabb3e8b3b5e60f332f,7,7,0,7,0,7,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
f504fc99b28b9a008ec05000b7e4d8ed0577e4c2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
279c95c9c0da3f07e74c8457207b43d3f73d5213,7,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,21,7,0,7,0,7,0,7,0,7,0,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0
arith_mean,7.00,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,0,5.00,0,5.00,0,5.00,0,5.00,0,5.00,0,0,0,0,0,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0
geo_mean,7.00,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,0,5.00,0,5.00,0,5.00,0,5.00,0,5.00,0,0,0,0,0,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0,7.00,0
