SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\STARTS|,|STARTS\VMS|,|VMS\FINE_STARTS|,|FINE_STARTS\VMS|,|VMS\EKSTAZI|,|EKSTAZI\VMS|,|VMS\FINE_EKSTAZI|,|FINE_EKSTAZI\VMS|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|,|VMS\STARTS+CLASSES_ps3cl|,|STARTS+CLASSES_ps3cl\VMS|,|VMS\FINE_STARTS+CLASSES_ps3cl|,|FINE_STARTS+CLASSES_ps3cl\VMS|,|VMS\EKSTAZI+CLASSES_ps3cl|,|EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\FINE_EKSTAZI+CLASSES_ps3cl|,|FINE_EKSTAZI+CLASSES_ps3cl\VMS|,|VMS\STARTS+METHODS-S_ps3cl|,|STARTS+METHODS-S_ps3cl\VMS|,|VMS\FINE_STARTS+METHODS-S_ps3cl|,|FINE_STARTS+METHODS-S_ps3cl\VMS|,|VMS\EKSTAZI+METHODS-S_ps3cl|,|EKSTAZI+METHODS-S_ps3cl\VMS|,|VMS\FINE_EKSTAZI+METHODS-S_ps3cl|,|FINE_EKSTAZI+METHODS-S_ps3cl\VMS|
491d1077adf30de070728e4b73559668155f1a06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c28e9fe824c8110787c73deafb019bfe3b811035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c9aabc3600c04ca1bb858633fa8d137db3eb9429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58206912d6dc1edc5a3b9b9b91bbf29f694a86dd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2e434bd303e2d374a57377c4e2127361feee23a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f3ddac37702567e1be686d9ce43328ab41b1a513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c337f13a9138decbcf629bbc1003004187223723,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f874f9e8d012e84718555a67d10b243d3387ba52,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3c8b437765a6ff4c068a08d4d158c409a2875cb8,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d886bc15659706d9b78c17aeeb5237929f8c959c,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14c1d8accc0fa7626d85d6d34134c7c8b953741d,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1cf39d02e061dc1fb333d59feefd820022b972d8,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba6721c938805d2936ffc283d72f27c42b5eef6e,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e3c96bbaf66c709ae831777e7a9eeb201f536566,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
