SHA,#AFFECTED_SPECS,TIME(S),#TOTAL_CLASSES,#IMPACTED_CLASSES,#IMPACTED_METHODS,TEST(S),#VIOLATIONS,#MONITORS,#EVENTS
e46fcbb0,160,540.869,0,465,0,0,3,0,0
086211b2,0,637.666,0,0,0,0,3,0,0
a2277fcb,12,327.412,0,266,0,0,0,0,0
a584486c,0,14.688,0,15,0,0,0,0,0
sum,172,1520.635,0,746,0,0,6,0,0
arith_mean,86.00,380.16,0,248.67,0,0,3.00,0,0
geo_mean,43.82,201.81,0,122.88,0,0,3.00,0,0
