SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
c15ac3bc52c1012d5840dfe978dc7aff3cc8c715,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123abd4a9d51219ed9cb737e215a085090a1c71f,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
691eca3cb969f73516ae147dfb4843bdab27c862,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cbf359809c1dd4632fdb8bea44b754ce22b078b0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dd86998ad47d4a4994bec0e5515c38111fded3c8,5,3,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
b0d9cf8b6702c9ffc40dfffb65473b7534c21933,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa59cb6f7912fa61574a249a0c1da4942e31ae12,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8f51ba028b59923c557c025f25d0f217baa6c08b,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e80bf4132dabe4b36a420723b2ca06d8a87a3602,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9d250e719c7a55f7ac482060bce018b9f89513c9,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f0978e9dc2a3d70e0577285adfb8f24a1ba99a3c,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d9b08d36d3d8495a3f28f623f3c669175d26dcdb,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3554cf68751d09d41ff5e8d01b50dec720fa89d7,3,1,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
da5ac54c5d203b08e243fb9d5c0707cf44c05231,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dcc00dc77d35cca48397ec1283c0b16895b1732f,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e75d9fd017fc0afe81788de83b27d38fdbb62de6,3,2,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
e4bc6a4e1805c3c9549a7b74b0111482a7b216fa,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10e00b065812c6e3ca0cf5628dfbd01751dea62c,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f2f7cbb681140ac27c9981c97c8a2dd054ba5d88,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3ae07cbb3d7b36ca3a57db95b71366c916c75693,9,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0,6,0
sum,78,19,0,6,5,6,5,6,5,6,5,6,5,6,5,6,5,6,5
arith_mean,3.90,3.17,0,6.00,1.67,6.00,1.67,6.00,1.67,6.00,1.67,6.00,1.67,6.00,1.67,6.00,1.67,6.00,1.67
geo_mean,3.59,2.67,0,6.00,1.59,6.00,1.59,6.00,1.59,6.00,1.59,6.00,1.59,6.00,1.59,6.00,1.59,6.00,1.59
