SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
095f7f50,42,41,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
aab22fc4,42,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
8add94fc,42,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
ca74f47d,43,4,0,4,12,4,0,4,12,4,0,4,12,4,0,4,0,4,0
5fd00d64,44,5,0,5,12,5,12,5,12,5,12,5,12,5,0,5,0,5,0
1a2e12c8,44,4,0,3,35,3,35,3,35,3,23,3,23,3,23,3,23,3,23
ca65459f,44,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0b9ede25,47,7,0,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
36f84631,46,20,1,1,27,1,27,1,27,1,27,1,27,1,27,1,27,1,27
b0306567,46,4,0,3,24,3,25,3,38,3,24,3,24,3,23,3,24,3,25
d53a11b8,47,5,0,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42
667755b0,47,4,0,4,0,4,0,4,15,4,0,4,15,4,0,4,0,4,0
sum,534,105,1,31,193,31,182,31,222,31,169,31,196,31,156,31,157,31,158
arith_mean,44.50,8.75,1.00,3.44,24.12,3.44,26.00,3.44,24.67,3.44,24.14,3.44,21.78,3.44,26.00,3.44,26.17,3.44,26.33
geo_mean,44.46,5.90,1.00,3.19,16.50,3.19,17.37,3.19,17.18,3.19,16.26,3.19,15.58,3.19,16.98,3.19,17.10,3.19,17.22
