SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
70884f17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63b11acb,4,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
6cb9ef0d,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99357456,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
568edb17,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4eae3a52,4,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2
9cf55afe,4,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
b36c822b,4,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
0282d3ab,4,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0
46c9bfae,5,1,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
e05ce19a,5,0,0,0,5,0,3,0,5,0,1,0,5,0,1,0,1,0,1
58e9e9e4,5,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
9e4120fd,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
788b61cb,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bb62b496,5,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
b9f73275,5,0,0,0,5,0,2,0,5,0,5,0,2,0,0,0,0,0,0
00efff7d,5,0,0,0,5,0,5,0,5,0,5,0,5,0,0,0,0,0,1
bb854ee1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950b4d7,5,0,0,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5
a6769045,5,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
sum,91,5,0,0,40,0,35,0,34,0,18,0,33,0,8,0,8,0,9
arith_mean,4.55,2.50,0,0,2.86,0,2.50,0,3.09,0,3.60,0,2.75,0,2.67,0,2.67,0,2.25
geo_mean,4.52,2.00,0,0,2.60,0,2.35,0,2.79,0,3.02,0,2.51,0,2.15,0,2.15,0,1.78
