SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
11100798e0c0f2a8a84e26c7c31aa104311f0480,22,21,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
f78f52ff7455e09fa03bb8cd7c071268cb0e3998,23,3,0,1,14,0,14,1,14,1,14,0,14,0,13,0,13,1,13
beafa8ed339f30a3347f1b20ef112380efdc7de1,23,0,0,0,22,0,22,0,23,0,23,0,23,0,23,0,23,0,23
885fcd6168ca23e93a1c24300f2ddcbda720258c,26,3,0,0,23,0,23,0,23,0,22,0,23,0,23,0,23,0,23
19192deeb489ab9213136006c3a433a060a7b29e,26,0,0,0,25,0,26,0,26,0,26,0,26,0,25,0,26,0,25
bc98265f6d4650822fba6865e0ae591e8477897d,26,0,0,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,26
060daed5a72a0e3d95c65319fd99e3285a5b213a,26,0,0,0,26,0,26,0,26,0,26,0,26,0,26,0,26,0,25
8a09e6e090f5eaf28d3f59e005eda059025b765e,26,0,0,0,25,0,25,0,26,0,26,0,26,0,26,0,25,0,26
5ff3901493ae27eb4ef54ab0116dfc60a9fff421,25,0,0,0,20,0,20,0,19,0,0,0,20,0,0,0,0,0,0
60bd7d5cc1b515db30258a23c4949fc9b3964648,26,2,0,0,24,0,24,0,24,0,24,0,24,0,23,0,23,0,24
145a4bf7c99cf768a671e5c874bd6db7b26a3aff,26,1,0,1,19,1,19,1,19,1,0,1,19,1,0,1,0,1,0
818010687799c0fd5a63fa7a21ad7db4ad7986a7,25,0,0,0,20,0,19,0,20,0,2,0,20,0,1,0,1,0,1
607165f39d022e9ce36324e3abdb21c40bd64a14,26,0,0,0,19,0,19,0,19,0,0,0,19,0,0,0,0,0,0
8338e163b8cd4ff83f97fdd69527768338ffa5cc,26,0,0,0,26,0,25,0,26,0,26,0,25,0,26,0,26,0,26
276fe86a305d726232767bfc003d8f943b4491de,25,0,0,0,19,0,20,0,0,0,0,0,0,0,0,0,0,0,0
8841e30d9c1267941f5c7a54399eb20a5b63e65d,26,0,0,0,19,0,19,0,20,0,19,0,19,0,19,0,19,0,18
71328521eae87bd7c3deef00b15a1de1fa2c0628,26,1,0,1,19,0,19,0,19,1,18,1,19,0,18,1,18,0,18
821d1cf9581ecc2e170ab6775b7d637c27669671,27,1,0,0,20,0,20,1,0,1,0,1,0,1,0,1,0,1,0
25916d170800b4ba3946b7469317ddd7442e303a,26,1,1,1,20,1,20,1,19,1,19,0,19,0,19,0,19,1,19
fb2347bd3b7bf1649b4e645b81003b611386f904,26,0,0,0,27,0,27,0,27,0,26,0,26,0,26,0,27,0,27
sum,508,33,1,4,413,2,413,4,377,5,298,3,375,2,295,3,295,4,295
arith_mean,25.40,4.12,1.00,1.00,21.74,1.00,21.74,1.00,20.94,1.00,19.87,1.00,20.83,1.00,19.67,1.00,21.07,1.00,19.67
geo_mean,25.37,2.10,1.00,1.00,21.46,1.00,21.46,1.00,18.37,1.00,15.45,1.00,18.29,1.00,14.64,1.00,17.79,1.00,14.63
