SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
06863c54,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
af8d8ea7,20,0,0,0,14,0,14,0,14,0,14,0,14,0,6,0,6,0,6
80ef8bb2,20,0,0,0,13,0,13,0,13,0,13,0,13,0,5,0,5,0,5
2c82ff16,20,0,0,0,13,0,13,0,13,0,13,0,13,0,5,0,5,0,5
848b6abc,21,1,0,1,13,1,13,1,13,1,13,1,8,1,0,1,0,1,0
d380d95e,21,0,0,0,13,0,13,0,13,0,8,0,8,0,0,0,0,0,0
f68dd1db,21,0,0,0,13,0,13,0,13,0,13,0,13,0,5,0,5,0,5
53b965df,21,0,0,0,13,0,13,0,13,0,8,0,13,0,0,0,0,0,0
c6abf79b,21,0,0,0,13,0,13,0,13,0,13,0,13,0,0,0,0,0,0
7b41635a,22,1,0,0,13,0,13,0,13,0,13,0,13,0,5,1,5,0,5
a6986119,22,0,0,0,13,0,13,0,14,0,13,0,14,0,5,0,5,0,5
20acc8ff,22,0,0,0,14,0,14,0,14,0,14,0,14,0,6,0,5,0,6
2beed862,22,1,1,1,13,1,13,1,13,1,8,1,13,1,0,1,0,1,0
eb9cf858,22,0,0,0,14,0,13,0,13,0,0,0,13,0,0,0,0,0,0
d2285ff1,22,0,0,0,13,0,13,0,13,0,0,0,13,0,0,0,0,0,0
7d53c1a6,22,0,0,0,13,0,13,0,13,0,8,0,0,0,0,0,0,0,0
43bccc8b,22,0,0,0,13,0,13,0,13,0,13,0,13,0,5,0,5,0,5
fd519999,23,1,0,0,13,0,13,0,13,1,0,0,13,1,0,1,0,1,0
7405247e,23,0,0,0,15,0,15,0,15,0,7,0,15,0,0,0,6,0,0
91fb76da,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
sum,407,24,1,2,239,2,238,2,239,3,171,2,216,3,42,4,53,3,42
arith_mean,21.42,4.80,1.00,1.00,13.28,1.00,13.22,1.00,13.28,1.00,11.40,1.00,12.71,1.00,5.25,1.00,5.30,1.00,5.25
geo_mean,21.40,1.82,1.00,1.00,13.27,1.00,13.21,1.00,13.27,1.00,11.07,1.00,12.55,1.00,5.23,1.00,5.28,1.00,5.23
