SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
6cbb3f6b,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7c44c923,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69328c8f,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c472d45d,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86b22734,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58f6bdab,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9c11a596,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c7f22400,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ba5b41e2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bcd1dc8d,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
42524d19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
efe49e8f,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a110fb4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
708ae28c,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2fdba8f2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55fc729f,2,0,0,0,2,0,2,0,2,0,0,0,2,0,0,0,0,0,0
c5f63d1f,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26ab38a0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2cebb56,2,0,0,0,2,0,2,0,2,0,2,0,2,0,0,0,0,0,1
b3963ecd,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,40,2,0,0,6,0,6,0,4,0,2,0,4,0,0,0,0,0,1
arith_mean,2.00,2.00,0,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,0,0,0,0,1.00
geo_mean,2.00,2.00,0,0,2.00,0,2.00,0,2.00,0,2.00,0,2.00,0,0,0,0,0,1.00
