SHA,VMS\HyRTS,HyRTS\VMS,VMS\CLASSES,CLASSES\VMS,VMS\METHODS,METHODS\VMS,VMS\MOP,MOP\VMS,VMS\FINE,FINE\VMS
06863c54,20,0,20,0,20,0,0,0,20,0
af8d8ea7,0,0,0,0,0,0,0,20,0,0
80ef8bb2,0,0,0,0,0,0,0,20,0,0
2c82ff16,0,0,0,0,0,0,0,20,0,0
848b6abc,1,0,1,0,1,0,0,20,1,0
d380d95e,0,0,0,0,0,0,0,21,0,0
f68dd1db,0,0,0,0,0,0,0,21,0,0
53b965df,0,0,0,0,0,0,0,21,0,0
c6abf79b,0,0,0,0,0,0,0,21,0,0
7b41635a,1,0,1,0,1,0,0,21,1,0
a6986119,0,0,0,0,0,0,0,22,0,0
20acc8ff,0,0,0,0,0,0,0,22,0,0
2beed862,1,0,1,0,1,0,1,22,1,0
eb9cf858,0,0,0,0,0,0,0,22,0,0
d2285ff1,0,0,0,0,0,0,0,22,0,0
7d53c1a6,0,0,0,0,0,0,0,22,0,0
43bccc8b,0,0,0,0,0,0,0,22,0,0
fd519999,1,0,1,0,1,0,0,22,1,0
7405247e,0,0,0,0,0,0,0,23,0,0
91fb76da,0,0,0,0,0,0,0,0,0,0
