SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
4cc301f9374b141e07fde7cfbb5e587669e8baad,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ad7cd80aa311801c2529438fb2efd4a73420b491,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
647e9536565500df13d5f3584d098d2b7de9132b,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
be7a2e19c587150f0ebeec0cda09d3efbcb99a30,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
380957092c17b73d2fe3493b75639b5894ed1600,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
c213f313c17a4161b30b41e0d9896f42c4333f8b,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
f88b6a578907a3951c344f723fcf7612e98b31a4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bfc67b2c33abcc215ea5ec691beb24cf1c4405ae,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97abe0865559a0f8abd98e9519f51613b0df80ba,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e26b35b55a963d8379e5c2cf1104bd5a86afeca3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1c8961061d594a4b5036b8c8fa018d01bc214332,1,0,0,0,1,0,1,0,2,0,1,0,1,0,0,0,0,0,1
3e34b55f92e41bd052830dc67eb2224dc4407985,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0
278f34213cd95b3afc0ed002d1440853ba3f33c9,2,0,0,0,1,0,1,0,2,0,2,0,2,0,2,0,1,0,1
082ae2bf09f7380b61a084832c18546757c371ed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d26c8afbe19ff3949c4805f3e3467b96a3fa329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
526b6eb28a6d6dcee4df9599e3e4a6a4f3c29504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29087a578e4c0262169c15728aa6297f19f1c31b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b2b689b6e9986cdb17d4153c67f6cbcf414fd6e7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d88949f1363849f8b39cdea934be4f650302de2d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ac5cdd4cd0500100d01c12ffbfe94f6b70f1739d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sum,14,5,1,1,9,1,9,0,6,1,4,1,5,1,3,2,2,1,3
arith_mean,1.08,1.00,1.00,1.00,1.00,1.00,1.00,0,1.50,1.00,1.33,1.00,1.25,1.00,1.50,1.00,1.00,1.00,1.00
geo_mean,1.05,1.00,1.00,1.00,1.00,1.00,1.00,0,1.41,1.00,1.26,1.00,1.19,1.00,1.41,1.00,1.00,1.00,1.00
