SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
095f7f50,42,41,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
aab22fc4,42,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
8add94fc,42,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0,3,0
ca74f47d,43,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
5fd00d64,44,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0,5,0
1a2e12c8,44,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
ca65459f,44,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
0b9ede25,47,7,0,0,41,0,40,0,40,0,40,0,40,0,40,0,40,0,40
36f84631,46,20,1,1,27,1,27,1,27,1,27,1,27,1,27,1,27,1,27
b0306567,46,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
d53a11b8,47,5,0,0,42,0,43,0,42,0,42,0,42,0,42,0,43,0,42
667755b0,47,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0,4,0
sum,534,105,1,33,111,33,111,33,110,33,110,33,110,33,110,33,111,33,110
arith_mean,44.50,8.75,1.00,3.67,27.75,3.67,27.75,3.67,27.50,3.67,27.50,3.67,27.50,3.67,27.50,3.67,27.75,3.67,27.50
geo_mean,44.46,5.90,1.00,3.40,14.68,3.40,14.68,3.40,14.59,3.40,14.59,3.40,14.59,3.40,14.59,3.40,14.68,3.40,14.59
