SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps3cl|,|CLASSES_ps3cl\VMS|,|VMS\FINE_ps3cl|,|FINE_ps3cl\VMS|,|VMS\HyRTS_ps3cl|,|HyRTS_ps3cl\VMS|,|VMS\HyRTS-S_ps3cl|,|HyRTS-S_ps3cl\VMS|,|VMS\METHODS_ps3cl|,|METHODS_ps3cl\VMS|,|VMS\METHODS-F_ps3cl|,|METHODS-F_ps3cl\VMS|,|VMS\METHODS-FA_ps3cl|,|METHODS-FA_ps3cl\VMS|,|VMS\METHODS-S_ps3cl|,|METHODS-S_ps3cl\VMS|
80c7dedc1cf7ecaf81a206cd90c8f08975ed7d3f,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381cca4018848c2fa75ae93efd44872c3d60cd59,22,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eaaff1d0687fc86a745ca8f3ea0b069b3cf54233,22,3,0,0,19,0,19,0,1,3,1,0,1,3,0,3,0,3,1
ca7bec7931d244bf0cd344efe480aa9d9c54db9e,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4d84d89207088ff08fc76d00bf90a56525aa7589,22,2,0,0,2,0,2,0,2,2,0,0,2,2,0,2,0,2,0
f81758e92881cb18bc1e0a84e2ac64464dd5ba85,22,0,0,0,4,0,4,0,4,0,3,0,4,0,1,0,0,0,3
dc437656ff8b825e87d7edf72125dc368b21c885,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fb2063b3f83610f29572b631edaa7e0471d249ac,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
262448b391379d053451719f3d14024e7ed9e588,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53922f2a5d3ca0750c22e4ead2194175545598d4,22,0,0,0,22,0,22,0,21,0,0,0,21,0,0,0,0,0,0
114403818fe7cf194ab4f9fed4ee3e96737d9740,22,0,0,0,22,0,22,0,5,0,0,0,5,0,0,0,0,0,0
52757eabf45fbecb04a877feecf1adc3ea765a3e,22,0,0,0,22,0,22,0,21,0,0,0,21,0,0,0,0,0,0
acff94148b2110b95f7aeae6a1bdcafb756061f0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
67e9e5c65c662c4cba609d30cb7fa2726f2ce7a9,22,0,0,0,22,0,22,0,10,0,0,0,10,0,0,0,0,0,0
1e7b4b694926cef7339e265bc2b3fad3b2370367,22,0,0,0,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0
b3fdbc28743019bcf855c3dccd7dd07a2372a53f,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66825d61bf5257445f62a8a91ffda9fff8dcc4dd,22,0,0,0,22,0,22,0,21,0,0,0,21,0,0,0,0,0,0
3ba701b9d83dc9a6a1d45695c55f4f6edaa103c7,22,3,0,0,1,0,1,0,1,3,0,0,1,3,0,3,0,3,0
b90efa845e300f3ef113458d656689bf187164c1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e917d7964141615d4a653e4b24393088d8f35aa4,22,0,0,0,22,0,22,0,1,0,0,0,1,0,0,0,0,0,0
sum,440,30,0,0,202,0,180,0,87,8,4,0,87,8,1,8,0,8,4
arith_mean,22.00,7.50,0,0,16.83,0,16.36,0,8.70,2.67,2.00,0,8.70,2.67,1.00,2.67,0,2.67,2.00
geo_mean,22.00,4.46,0,0,11.93,0,11.29,0,4.54,2.62,1.73,0,4.54,2.62,1.00,2.62,0,2.62,1.73
