SHA,|MOP|,|VMS|,|VMS\MOP|,|VMS\CLASSES_ps1c|,|CLASSES_ps1c\VMS|,|VMS\FINE_ps1c|,|FINE_ps1c\VMS|,|VMS\HyRTS_ps1c|,|HyRTS_ps1c\VMS|,|VMS\HyRTS-S_ps1c|,|HyRTS-S_ps1c\VMS|,|VMS\METHODS_ps1c|,|METHODS_ps1c\VMS|,|VMS\METHODS-F_ps1c|,|METHODS-F_ps1c\VMS|,|VMS\METHODS-FA_ps1c|,|METHODS-FA_ps1c\VMS|,|VMS\METHODS-S_ps1c|,|METHODS-S_ps1c\VMS|
45a3ce9e,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0a493aa0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48785dd5,7,0,0,0,7,0,7,0,4,0,0,0,4,0,0,0,0,0,0
505b4ce9,8,1,0,1,7,1,7,1,1,1,0,1,1,1,0,1,0,1,0
bd37aeab,7,0,0,0,7,0,7,0,7,0,0,0,7,0,0,0,0,0,0
ba97e03e,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fb4889ee,8,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
ea51f46c,7,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
892fab2d,8,1,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
f3ac761c,9,0,0,0,8,0,8,0,8,0,0,0,8,0,0,0,0,0,0
4a2df35c,8,0,0,0,8,0,8,0,7,0,0,0,7,0,0,0,0,0,0
91015e23,9,1,0,0,7,0,7,0,7,0,7,0,7,0,7,0,7,0,7
ca9d3815,8,0,0,0,8,0,8,0,1,0,0,0,1,0,0,0,0,0,0
b78a29ae,8,0,0,0,9,0,9,0,8,0,0,0,8,0,0,0,0,0,0
87a81d20,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170c5c6d,8,0,0,0,9,0,9,0,4,0,0,0,4,0,0,0,0,0,0
259ea0d6,8,1,1,1,9,1,8,1,0,1,0,1,9,1,1,1,0,1,2
403ce329,9,0,0,0,9,0,9,0,9,0,0,0,9,0,0,0,0,0,0
a118e796,8,1,1,1,8,1,9,1,8,1,9,1,8,1,9,1,8,1,8
1c0d7b81,8,0,0,0,9,0,9,0,9,0,9,0,9,0,9,0,8,0,9
sum,157,12,2,3,120,3,120,3,73,3,25,3,82,3,26,3,23,3,26
arith_mean,7.85,2.00,1.00,1.00,7.50,1.00,7.50,1.00,6.08,1.00,8.33,1.00,6.31,1.00,6.50,1.00,7.67,1.00,6.50
geo_mean,7.82,1.38,1.00,1.00,7.35,1.00,7.35,1.00,4.97,1.00,8.28,1.00,5.20,1.00,4.88,1.00,7.65,1.00,5.63
