SHA,VMS\HyRTS,HyRTS\VMS,VMS\CLASSES,CLASSES\VMS,VMS\METHODS,METHODS\VMS,VMS\MOP,MOP\VMS,VMS\FINE,FINE\VMS
bb439097,6,0,6,0,6,0,0,0,6,0
9f652e7a,0,0,0,0,0,0,0,6,0,0
f7cb9b91,0,0,0,0,0,0,0,6,0,0
3afb0a43,0,0,0,0,0,0,0,6,0,0
dd00c81c,0,0,0,0,0,0,0,6,0,0
96c13096,0,0,0,0,0,0,0,6,0,0
04698b21,0,0,0,0,0,0,0,6,0,0
1fd0a702,0,0,0,0,0,0,0,6,0,0
d77a3cfd,0,0,0,0,0,0,0,6,0,0
ed4fa984,0,0,0,0,0,0,0,6,0,0
094c2cb4,0,0,0,0,0,0,0,6,0,0
014cc932,0,0,0,0,0,0,0,6,0,0
427bb666,0,0,0,0,0,0,0,6,0,0
eb052c36,0,0,0,0,0,0,0,6,0,0
e060e937,0,0,0,0,0,0,0,6,0,0
d75e3d25,0,0,0,0,0,0,0,6,0,0
9909973e,0,0,0,0,0,0,0,6,0,0
bf213349,0,0,0,0,0,0,0,6,0,0
81f94cd4,0,0,0,0,0,0,0,6,0,0
5162ef9a,0,0,0,0,0,0,0,6,0,0
