SHA,VMS\HyRTS,HyRTS\VMS,VMS\CLASSES,CLASSES\VMS,VMS\METHODS,METHODS\VMS,VMS\MOP,MOP\VMS,VMS\FINE,FINE\VMS
45a3ce9e,7,0,7,0,7,0,0,0,7,0
0a493aa0,0,0,0,0,0,0,0,7,0,0
48785dd5,0,0,0,0,0,0,0,7,0,0
505b4ce9,1,0,1,0,1,0,0,7,1,0
bd37aeab,0,0,0,0,0,0,0,7,0,0
ba97e03e,0,0,0,0,0,0,0,7,0,0
fb4889ee,0,0,0,0,0,0,0,8,0,0
ea51f46c,0,0,0,0,0,0,0,7,0,0
892fab2d,1,0,1,0,1,0,0,7,1,0
f3ac761c,0,0,0,0,0,0,0,9,0,0
4a2df35c,0,0,0,0,0,0,0,8,0,0
91015e23,1,0,1,0,1,0,0,8,1,0
ca9d3815,0,0,0,0,0,0,0,8,0,0
b78a29ae,0,0,0,0,0,0,0,8,0,0
87a81d20,0,0,0,0,0,0,0,8,0,0
170c5c6d,0,0,0,0,0,0,0,8,0,0
259ea0d6,1,0,1,0,1,0,1,8,1,0
403ce329,0,0,0,0,0,0,0,9,0,0
a118e796,1,0,1,0,1,0,1,8,1,0
1c0d7b81,0,0,0,0,0,0,0,8,0,0
